"date","daily_sales"
2015-01-01,2713.85
2015-01-02,2731.90
2015-01-03,2662.40
2015-01-04,1755.45
2015-01-05,2065.95
2015-01-06,2428.95
2015-01-07,2202.20
2015-01-08,2838.35
2015-01-09,2127.35
2015-01-10,2463.95
2015-01-11,1872.30
2015-01-12,1919.05
2015-01-13,2049.60
2015-01-14,2527.40
2015-01-15,1984.80
2015-01-16,2594.15
2015-01-17,2064.10
2015-01-18,1976.85
2015-01-19,2387.15
2015-01-20,2397.90
2015-01-21,2040.55
2015-01-22,2496.70
2015-01-23,2423.70
2015-01-24,2289.25
2015-01-25,1617.55
2015-01-26,1884.40
2015-01-27,2528.05
2015-01-28,2016.00
2015-01-29,2045.30
2015-01-30,2270.30
2015-01-31,2417.85
2015-02-01,3189.20
2015-02-02,2328.60
2015-02-03,2614.80
2015-02-04,2233.90
2015-02-05,2215.80
2015-02-06,2509.95
2015-02-07,2237.65
2015-02-08,2035.00
2015-02-09,2195.35
2015-02-10,2056.50
2015-02-11,2460.00
2015-02-12,2158.80
2015-02-13,2754.50
2015-02-14,2319.15
2015-02-15,2141.25
2015-02-16,1968.80
2015-02-17,2121.90
2015-02-18,2642.85
2015-02-19,2030.25
2015-02-20,2891.15
2015-02-21,2111.00
2015-02-22,1579.95
2015-02-23,2168.55
2015-02-24,2194.55
2015-02-25,2341.30
2015-02-26,2261.30
2015-02-27,2857.95
2015-02-28,2539.60
2015-03-01,1598.55
2015-03-02,2379.05
2015-03-03,2287.90
2015-03-04,2444.30
2015-03-05,2350.65
2015-03-06,2513.95
2015-03-07,2400.45
2015-03-08,2188.15
2015-03-09,2334.55
2015-03-10,2388.70
2015-03-11,2207.70
2015-03-12,1994.90
2015-03-13,2786.65
2015-03-14,2039.45
2015-03-15,2068.60
2015-03-16,2295.05
2015-03-17,2965.30
2015-03-18,2075.40
2015-03-19,2388.60
2015-03-20,2461.25
2015-03-21,2267.40
2015-03-22,1259.25
2015-03-23,2232.55
2015-03-24,2162.30
2015-03-25,1927.75
2015-03-26,2215.50
2015-03-27,2744.80
2015-03-28,2252.10
2015-03-29,2154.25
2015-03-30,2255.45
2015-03-31,2756.60
2015-04-01,2176.85
2015-04-02,2547.15
2015-04-03,2538.20
2015-04-04,2767.55
2015-04-05,1909.85
2015-04-06,2622.35
2015-04-07,2234.25
2015-04-08,2293.95
2015-04-09,2047.30
2015-04-10,2424.95
2015-04-11,2543.75
2015-04-12,1994.30
2015-04-13,2496.20
2015-04-14,2505.70
2015-04-15,2578.85
2015-04-16,2017.95
2015-04-17,2675.65
2015-04-18,2286.20
2015-04-19,1527.95
2015-04-20,2459.45
2015-04-21,2213.15
2015-04-22,2193.45
2015-04-23,2426.15
2015-04-24,2979.20
2015-04-25,2089.20
2015-04-26,1767.40
2015-04-27,2180.80
2015-04-28,1742.80
2015-04-29,1828.75
2015-04-30,2667.50
2015-05-01,2571.95
2015-05-02,2400.20
2015-05-03,1832.25
2015-05-04,2288.90
2015-05-05,1713.60
2015-05-06,2309.80
2015-05-07,2228.85
2015-05-08,3052.30
2015-05-09,2368.40
2015-05-10,2288.35
2015-05-11,2388.05
2015-05-12,2299.70
2015-05-13,2261.80
2015-05-14,2694.50
2015-05-15,3386.15
2015-05-16,2281.10
2015-05-17,1828.40
2015-05-18,2209.65
2015-05-19,1987.00
2015-05-20,2373.00
2015-05-21,2062.55
2015-05-22,2635.10
2015-05-23,2444.15
2015-05-24,2196.95
2015-05-25,2104.40
2015-05-26,1876.45
2015-05-27,2097.00
2015-05-28,2016.40
2015-05-29,3001.20
2015-05-30,2486.95
2015-05-31,1717.65
2015-06-01,3067.75
2015-06-02,2449.95
2015-06-03,1907.05
2015-06-04,2283.60
2015-06-05,2700.15
2015-06-06,2280.95
2015-06-07,1960.75
2015-06-08,2264.95
2015-06-09,2442.55
2015-06-10,2019.40
2015-06-11,2650.50
2015-06-12,2138.60
2015-06-13,2508.90
2015-06-14,1859.00
2015-06-15,2595.60
2015-06-16,1898.30
2015-06-17,2137.10
2015-06-18,1984.50
2015-06-19,2793.45
2015-06-20,2060.60
2015-06-21,1925.20
2015-06-22,2319.30
2015-06-23,2042.75
2015-06-24,2327.50
2015-06-25,2399.15
2015-06-26,2745.50
2015-06-27,2812.90
2015-06-28,1569.70
2015-06-29,1873.60
2015-06-30,2210.95
2015-07-01,2231.50
2015-07-02,2294.80
2015-07-03,3443.00
2015-07-04,3864.20
2015-07-05,1591.45
2015-07-06,2116.90
2015-07-07,2374.40
2015-07-08,2396.05
2015-07-09,2297.75
2015-07-10,2432.40
2015-07-11,2085.55
2015-07-12,2185.65
2015-07-13,2059.50
2015-07-14,1956.50
2015-07-15,2501.80
2015-07-16,2463.90
2015-07-17,3131.65
2015-07-18,2122.20
2015-07-19,2022.70
2015-07-20,2501.00
2015-07-21,2030.85
2015-07-22,2292.10
2015-07-23,2214.50
2015-07-24,3204.40
2015-07-25,2237.25
2015-07-26,1871.55
2015-07-27,2172.00
2015-07-28,2094.55
2015-07-29,1923.25
2015-07-30,2349.15
2015-07-31,2095.40
2015-08-01,2440.55
2015-08-02,1910.15
2015-08-03,1982.25
2015-08-04,2090.15
2015-08-05,2094.85
2015-08-06,2099.25
2015-08-07,2626.40
2015-08-08,2716.40
2015-08-09,2002.65
2015-08-10,2139.45
2015-08-11,2290.00
2015-08-12,2365.75
2015-08-13,2074.15
2015-08-14,3016.60
2015-08-15,2252.35
2015-08-16,2139.30
2015-08-17,2626.00
2015-08-18,2101.20
2015-08-19,2332.95
2015-08-20,1907.70
2015-08-21,2601.40
2015-08-22,2406.00
2015-08-23,1701.60
2015-08-24,1697.05
2015-08-25,1958.90
2015-08-26,2329.40
2015-08-27,2117.65
2015-08-28,2647.20
2015-08-29,2035.00
2015-08-30,1494.60
2015-08-31,2081.35
2015-09-01,2352.85
2015-09-02,1865.55
2015-09-03,2252.60
2015-09-04,2960.95
2015-09-05,2537.80
2015-09-06,1491.65
2015-09-07,2283.35
2015-09-08,2249.50
2015-09-09,2580.10
2015-09-10,2415.85
2015-09-11,2761.90
2015-09-12,2588.15
2015-09-13,1838.15
2015-09-14,2165.25
2015-09-15,2550.20
2015-09-16,2185.25
2015-09-17,2242.05
2015-09-18,2721.55
2015-09-19,2286.55
2015-09-20,1829.00
2015-09-21,2131.45
2015-09-22,2170.40
2015-09-23,2163.00
2015-09-26,2246.85
2015-09-27,2314.70
2015-09-28,2035.30
2015-09-29,2762.05
2015-09-30,2198.05
2015-10-01,3202.15
2015-10-02,2074.85
2015-10-03,2400.95
2015-10-04,2142.20
2015-10-06,2215.95
2015-10-07,2092.35
2015-10-08,1975.85
2015-10-09,2512.60
2015-10-10,2310.20
2015-10-11,1916.25
2015-10-13,2325.95
2015-10-14,2146.35
2015-10-15,4320.20
2015-10-16,2555.10
2015-10-17,2339.80
2015-10-18,1795.30
2015-10-20,2437.15
2015-10-21,2460.50
2015-10-22,2400.90
2015-10-23,2610.65
2015-10-24,2679.50
2015-10-25,1837.05
2015-10-27,1988.65
2015-10-28,1635.95
2015-10-29,2169.75
2015-10-30,2736.60
2015-10-31,2744.85
2015-11-01,1986.65
2015-11-02,2299.10
2015-11-03,1828.55
2015-11-04,1966.10
2015-11-05,2180.35
2015-11-06,3157.50
2015-11-07,2580.95
2015-11-08,2110.15
2015-11-09,2483.75
2015-11-10,2042.60
2015-11-11,1946.20
2015-11-12,2564.80
2015-11-13,2264.55
2015-11-14,2324.75
2015-11-15,1821.65
2015-11-16,2256.65
2015-11-17,1956.55
2015-11-18,2111.70
2015-11-19,2694.90
2015-11-20,2388.10
2015-11-21,2083.95
2015-11-22,1368.70
2015-11-23,2465.15
2015-11-24,2230.05
2015-11-25,2363.25
2015-11-26,4405.95
2015-11-27,4422.45
2015-11-28,1968.05
2015-11-29,1899.00
2015-11-30,2223.25
2015-12-01,2076.70
2015-12-02,2214.10
2015-12-03,2243.20
2015-12-04,2878.35
2015-12-05,2627.95
2015-12-06,2350.25
2015-12-07,2414.80
2015-12-08,1856.25
2015-12-09,2571.55
2015-12-10,1985.60
2015-12-11,2634.00
2015-12-12,1960.15
2015-12-13,2245.15
2015-12-14,2172.60
2015-12-15,2387.45
2015-12-16,2234.80
2015-12-17,1880.75
2015-12-18,2886.30
2015-12-19,2304.20
2015-12-20,2104.90
2015-12-21,2100.70
2015-12-22,1882.95
2015-12-23,2244.30
2015-12-24,2137.85
2015-12-26,1643.05
2015-12-27,1419.00
2015-12-28,1637.20
2015-12-29,1353.25
2015-12-30,1337.80
2015-12-31,2916.00
